Time,UT,Conditions,Comment
00:30,2011-12-01 00:30:00,CL,According to Isaac ZP - Susana Cerdah
23:30,2011-12-01 23:30:00,CL,- Susana Cerdah
02:05,2011-12-02 02:05:00,CL,According to HAWK-I Zp - Carlos La Fuente
23:30,2011-12-02 23:30:00,CL,- Susana Cerdah
01:00,2011-12-03 01:00:00,PH,According to Isaac Zp - Susana Cerdah
03:30,2011-12-03 03:30:00,PH,According to OmegaCam and Fors ZP - Susana Cerdah
23:30,2011-12-03 23:30:00,CL,Clear Skies - Susana Cerdah
00:30,2011-12-04 00:30:00,PH,According to OmegaCam ZP - Susana Cerdah
23:30,2011-12-04 23:30:00,CL,- Carlos La Fuente
00:10,2011-12-05 00:10:00,PH,"PH, according to ISAAC Zp. - Carlos La Fuente"
00:45,2011-12-05 00:45:00,PH,"PH, according to FORS Zp. - Carlos La Fuente"
23:30,2011-12-05 23:30:00,CL,- Carlos La Fuente
01:10,2011-12-06 01:10:00,PH,"PH, according to FORS & ISAAC Zp. - Carlos La Fuente"
23:35,2011-12-06 23:35:00,CL,- Cristian Herrera
01:00,2011-12-07 01:00:00,PH,according to ISAAC zp - Cristian Herrera
04:17,2011-12-07 04:17:00,WI,pointing restriction to the North. Wind speed above 12 m/s - Cristian Herrera
05:00,2011-12-07 05:00:00,WI,wind speed 15.5 m/s. Humidity 37% - Cristian Herrera
05:19,2011-12-07 05:19:00,,closing all telescopes due wind speed over 18m/s - Cristian Herrera
23:40,2011-12-07 23:40:00,CL,- Cristian Herrera
04:00,2011-12-08 04:00:00,WI,Windspeed around ~12 m/s. Pointing restriction. - Cristian Herrera
23:45,2011-12-08 23:45:00,CL,- Cristian Herrera
05:46,2011-12-09 05:46:00,WI,Pointing restriction to North. - Cristian Herrera
23:32,2011-12-09 23:32:00,CL,- Cristian Herrera
00:20,2011-12-10 00:20:00,TN,some faint clouds passing - Cristian Herrera
00:50,2011-12-10 00:50:00,CL,- Cristian Herrera
06:00,2011-12-10 06:00:00,CL,- Cristian Herrera
23:40,2011-12-10 23:40:00,TN,some faint clouds passing - Andres Parraguez
01:04,2011-12-11 01:04:00,CL,According to HAWKI zp - Andres Parraguez
02:10,2011-12-11 02:10:00,TN,faint clouds passing - Andres Parraguez
03:40,2011-12-11 03:40:00,CL,according to NACO zp - Andres Parraguez
05:05,2011-12-11 05:05:00,TN,- Andres Parraguez
06:20,2011-12-11 06:20:00,CL,according to NACO zp - Andres Parraguez
07:00,2011-12-11 07:00:00,TN,- Andres Parraguez
08:00,2011-12-11 08:00:00,TK,confirmed by NACO zp - Andres Parraguez
23:25,2011-12-11 23:25:00,TN,- Thomas Szeifert
03:10,2011-12-12 03:10:00,CL,- Thomas Szeifert
07:30,2011-12-12 07:30:00,TN,- Thomas Szeifert
23:30,2011-12-12 23:30:00,TN,- Andres Parraguez
23:45,2011-12-12 23:45:00,CL,clouds under 20 deg. alt - Andres Parraguez
01:35,2011-12-13 01:35:00,CL,according to HAWKI zp - Andres Parraguez
02:30,2011-12-13 02:30:00,TN,- Andres Parraguez
03:35,2011-12-13 03:35:00,CL,- Andres Parraguez
07:55,2011-12-13 07:55:00,TN,- Andres Parraguez
23:40,2011-12-14 23:40:00,CL,- Thomas Szeifert
00:45,2011-12-15 00:45:00,PH,"according to VIMOS, extinction monitoring 2011-12-15T01:06 = 0.085 - Thomas Szeifert"
01:07,2011-12-17 01:07:00,,00:45 Photometric according to HAWKI zp - A. Smette
07:22,2011-12-17 07:22:00,,05:10 Clear according to Omega-cam zp - A. Smette
07:19,2011-12-18 07:19:00,,00:55 PH according to HAWKI zp04:40 PH according to Omega-cam zp07:00 PH according to NACO zp - Nestor Jimenez
00:54,2011-12-19 00:54:00,,00:40: Ski clear - Nestor Jimenez
06:45,2011-12-19 06:45:00,,23:40 Sky clear - Nestor Jimenez
06:45,2011-12-19 06:45:00,,00:35 clear According to Omega-cam zp - Nestor Jimenez
07:24,2011-12-19 07:24:00,,07:00 sky clear - Nestor Jimenez
00:55,2011-12-20 00:55:00,,00:40: sky clear (observed) - Nestor Jimenez
00:55,2011-12-20 00:55:00,,00:45: Clear according to Omega cam zp - Nestor Jimenez
06:39,2011-12-20 06:39:00,,06:00: Sky clear observed - Nestor Jimenez
23:43,2011-12-20 23:43:00,TN,- cristian romero
01:46,2011-12-21 01:46:00,WI				TN,pointing restrictiopn to South. - cristian romero
03:53,2011-12-21 03:53:00,CL,03:53 clear skies and no wind restriction - cristian romero
23:59,2011-12-21 23:59:00,CL,- cristian romero
03:36,2011-12-22 03:36:00,CL,clear according ISAAC - cristian romero
04:02,2011-12-22 04:02:00,CL,According POLAR FIELD OMEGACAM - cristian romero
23:39,2011-12-22 23:39:00,TN,- cristian romero
01:34,2011-12-23 01:34:00,TN,- cristian romero
05:02,2011-12-23 05:02:00,CL,clear skies - cristian romero
07:08,2011-12-23 07:08:00,TN,- cristian romero
23:55,2011-12-23 23:55:00,CY,telescope closed due clouds - cristian romero
01:31,2011-12-24 01:31:00,CY,Overcast telescope remained closed - cristian romero
05:16,2011-12-24 05:16:00,CY,overcast telescope remained closed - cristian romero
23:42,2011-12-24 23:42:00,TN,thin clouds - cristian romero
01:29,2011-12-25 01:29:00,TN,- cristian romero
03:22,2011-12-25 03:22:00,TK				TN,- cristian romero
04:04,2011-12-25 04:04:00,CY,Overcast telescope closed - cristian romero
06:59,2011-12-25 06:59:00,CY,"overcast, telescops remained closed - cristian romero"
23:36,2011-12-25 23:36:00,CY,"overcast, telescope remanied closed - cristian romero"
01:16,2011-12-26 01:16:00,CY,- cristian romero
03:39,2011-12-26 03:39:00,CY,telescope remained closed - cristian romero
05:06,2011-12-26 05:06:00,CY,"Overcast, telescope remained closed - cristian romero"
07:12,2011-12-26 07:12:00,CY,Overcast telescope remained closed - cristian romero
23:39,2011-12-26 23:39:00,TN,- cristian romero
01:10,2011-12-27 01:10:00,CL				WI,pointing restriction top South - cristian romero
03:00,2011-12-27 03:00:00,CL,- cristian romero
03:47,2011-12-27 03:47:00,CL,- cristian romero
05:47,2011-12-27 05:47:00,TN,- cristian romero
23:40,2011-12-27 23:40:00,TK,Thick cirrus covering most of the sky. All telescopes closed. - Carlos La Fuente
02:00,2011-12-28 02:00:00,TK,Telescopes remain closed - Carlos La Fuente
04:40,2011-12-28 04:40:00,TK,"Overcast, telescopes remain closed - Carlos La Fuente"
06:30,2011-12-28 06:30:00,TK,Overcast - Carlos La Fuente
23:45,2011-12-28 23:45:00,TN,Tn clouds across the sky + some tk clouds below 20 degrees - Carlos La Fuente
01:20,2011-12-29 01:20:00,CL,Some clouds below 20 deg at N and W - Susana Cerdah
04:10,2011-12-29 04:10:00,PH,According to Fors Zp - Susana Cerdah
23:45,2011-12-29 23:45:00,CL,Clear Skies - Carlos La Fuente
01:20,2011-12-30 01:20:00,CL,According to FORS Zp - Carlos La Fuente
05:00,2011-12-30 05:00:00,TN,Thin cirrus passing by (N) - Carlos La Fuente
23:45,2011-12-30 23:45:00,CL,- Susana Cerdah
02:00,2011-12-31 02:00:00,PH,According to OmegaCam Zp - Susana Cerdah
23:45,2011-12-31 23:45:00,CL,Thin cirrus below 20 deg. - V. Ivanov
00:30,2012-01-01 00:30:00,CL,According to Isaac Zp - Susana Cerdah
04:10,2012-01-01 04:10:00,TN,Thin cirrus passing by - S. Mieske
23:50,2012-01-01 23:50:00,TK,- Susana Cerdah
00:41,2012-01-02 00:41:00,,00:00 THIN      Some thicks to the W and S - Nestor Jimenez
04:45,2012-01-02 04:45:00,CL,Clouds below 20 deg - Susana Cerdah
06:00,2012-01-02 06:00:00,CL,According to OmegaCam - Susana Cerdah
06:54,2012-01-02 06:54:00,TN,- Susana Cerdah
08:12,2012-01-02 08:12:00,TK,- Susana Cerdah
08:18,2012-01-02 08:18:00,TK,08:12  Thick clouds - Nestor Jimenez
23:45,2012-01-02 23:45:00,TK				HU,- Susana Cerdah
00:40,2012-01-03 00:40:00,TN,- Susana Cerdah
04:34,2012-01-03 04:34:00,TK				HU,- Susana Cerdah
07:10,2012-01-03 07:10:00,TN,- Susana Cerdah
23:30,2012-01-03 23:30:00,CY				HU,Overcast over the field and High Humidity 69% - Marcelo López
02:00,2012-01-04 02:00:00,CY				HU,Overcast over the field and High Humidity 67% - Marcelo López
06:00,2012-01-04 06:00:00,CY				HU,Overcast over the field and High Humidity 74% - Marcelo López
07:00,2012-01-04 07:00:00,CY				HU,Overcast over the field and High Humidity 79% - Marcelo López
23:30,2012-01-04 23:30:00,CY				HU,At openning Nimbus Clouds over the field and High Humidity 56%. Close Telescopes. - Marcelo López
01:00,2012-01-05 01:00:00,CY				HU,Clouds over the field and High Humidity 56% - Marcelo López
05:00,2012-01-05 05:00:00,CY				HU,Clouds over the field and High Humidity 54% - Marcelo López
07:30,2012-01-05 07:30:00,TK				HU,Thick Clouds West of the field and High Humidity 62%. Open Telescopes. - Marcelo López
08:49,2012-01-05 08:49:00,HU				TN,Thin clouds from the west and High Humidity 59% - Marcelo López
23:30,2012-01-05 23:30:00,CL				HU,High Humidity 57%. - Marcelo López
01:00,2012-01-06 01:00:00,CL				HU,Clear according to OMEGACAM and High Humidity 50%. - Marcelo López
05:50,2012-01-06 05:50:00,TN,Thin Clouds coming from the West. Humidity 40%. - Marcelo López
07:25,2012-01-06 07:25:00,CL,Clear and humidity 40 % - Marcelo López
23:30,2012-01-06 23:30:00,CL				WI,Clear and Pointing Restriction Wind 170 degrees 12 m/s. - Marcelo López
00:40,2012-01-07 00:40:00,CL,Clear according to NACO and FORS2 Zp. Wind 170 degrees 13 m/s. - Marcelo López
03:10,2012-01-07 03:10:00,CL,"Clear, No Pointing Restriction Wind 165 degrees 10.5 m/s. - Marcelo López"
23:30,2012-01-07 23:30:00,TN,Thin Clouds from the West and Humidity 46% - Marcelo López
03:00,2012-01-08 03:00:00,CL,Clear and Hunidity 45% - Marcelo López
04:33,2012-01-08 04:33:00,TN,Thin Clouds - Cristian Esparza
05:15,2012-01-08 05:15:00,CL,Clear - Marcelo López
07:20,2012-01-08 07:20:00,TN,Thin Clouds - Marcelo López
23:30,2012-01-08 23:30:00,CY,Broken at 7.000 Km. Tel closed. - Marcelo López
02:00,2012-01-09 02:00:00,TN,Thin Clouds from the West. Tel Opened. - Marcelo López
06:30,2012-01-09 06:30:00,TN,Thin Clouds from North and West. - Marcelo López
08:10,2012-01-09 08:10:00,CY,Cloudy. Close Tel. - Marcelo López
23:30,2012-01-09 23:30:00,CY,"Cloudy over the field, two nimbus layers at 7 and 10 Km. Tel Closed. - Marcelo López"
04:30,2012-01-10 04:30:00,TN,Thin Clouds over the field. Tel open. - Marcelo López
07:43,2012-01-10 07:43:00,CL,- Marcelo López
00:00,2012-01-11 00:00:00,CL,- Susana Cerdah
00:40,2012-01-11 00:40:00,PH,According to OmegaCam Zp - Susana Cerdah
00:45,2012-01-11 00:45:00,PH,According to Isaac Zp - Susana Cerdah
02:00,2012-01-11 02:00:00,PH,According to Hawki and Naco Zp - Susana Cerdah
04:30,2012-01-11 04:30:00,PH,According to OmegaCam Zp - Susana Cerdah
05:00,2012-01-11 05:00:00,PH,According to Isaac Zp - Susana Cerdah
06:03,2012-01-11 06:03:00,PH,According to Isaac Zp - Susana Cerdah
23:50,2012-01-11 23:50:00,CL,- Susana Cerdah
01:56,2012-01-12 01:56:00,CL,According to OmegaCam ZP - Susana Cerdah
06:00,2012-01-12 06:00:00,PH,According to ISAAC Zp - Claudia Reyes
23:52,2012-01-12 23:52:00,CL,- Claudia Reyes
01:20,2012-01-13 01:20:00,PH,According to OmegaCam - Susana Cerdah
03:30,2012-01-13 03:30:00,PH,According to Hawki and Naco ZP - Susana Cerdah
04:40,2012-01-13 04:40:00,PH,According to OmegaCam ZP - Susana Cerdah
00:00,2012-01-14 00:00:00,CL,- Claudia Reyes
01:00,2012-01-14 01:00:00,PH,According to FORS Zp - Claudia Reyes
01:35,2012-01-14 01:35:00,PH,According to OmegaCam - Susana Cerdah
02:30,2012-01-14 02:30:00,PH,According to HAWK-I Zp - Claudia Reyes
07:00,2012-01-14 07:00:00,PH,According to HAWK-I Zp - Claudia Reyes
23:48,2012-01-14 23:48:00,CL,- Susana Cerdah
03:30,2012-01-15 03:30:00,PH,According to VIMOS Zp - Claudia Reyes
04:00,2012-01-15 04:00:00,PH,According to ISAAC Zp - Claudia Reyes
06:00,2012-01-15 06:00:00,PH,According to ISAAC Zp - - Claudia Reyes
23:55,2012-01-15 23:55:00,CL,- Susana Cerdah
00:41,2012-01-16 00:41:00,PH,According to Vimos - Susana Cerdah
01:03,2012-01-16 01:03:00,CL,According to OmegaCam - Susana Cerdah
04:26,2012-01-16 04:26:00,PH,According to OmegaCam - Susana Cerdah
05:37,2012-01-16 05:37:00,PH				WI,Pointing restriction (strong wind coming from NE) - Susana Cerdah
23:46,2012-01-16 23:46:00,CL,- Susana Cerdah
02:06,2012-01-17 02:06:00,PH,According to OmegaCam & Fors - Susana Cerdah
02:30,2012-01-17 02:30:00,PH,According to Vimos ZP - Susana Cerdah
05:05,2012-01-17 05:05:00,PH,Acording to OmegaCam - Susana Cerdah
00:10,2012-01-18 00:10:00,CL,- Andres Parraguez
01:05,2012-01-18 01:05:00,CL,CLEAR sky according to OMEGACAM zp - Andres Parraguez
03:45,2012-01-18 03:45:00,PH,According to FORS2 zp - Andres Parraguez
04:36,2012-01-18 04:36:00,PH,according OMEGACAM zp - Andres Parraguez
00:05,2012-01-19 00:05:00,CL,- Andres Parraguez
00:46,2012-01-19 00:46:00,PH,according to FORS ZP - Andres Parraguez
00:55,2012-01-19 00:55:00,PH,according to OMEGACAM zp - Andres Parraguez
05:12,2012-01-19 05:12:00,PH,according to OMEGACAM zp - Andres Parraguez
00:06,2012-01-20 00:06:00,CL,- Andres Parraguez
01:03,2012-01-20 01:03:00,PH,according to OMEGACAM zp - Andres Parraguez
05:33,2012-01-20 05:33:00,PH,According to OMEGACAM zp - Andres Parraguez
06:58,2012-01-20 06:58:00,WI,pointing restriction to the N-E - Andres Parraguez
08:19,2012-01-20 08:19:00,CL,according to OMEGACAM zp - Andres Parraguez
00:10,2012-01-21 00:10:00,CL,- Andres Parraguez
00:43,2012-01-21 00:43:00,PH,According to FORS zp - Andres Parraguez
00:53,2012-01-21 00:53:00,PH,According to OMEGACAM zp - Andres Parraguez
02:11,2012-01-21 02:11:00,WI,Pointing restriction to the N-E - Andres Parraguez
06:00,2012-01-21 06:00:00,PH,According to OMEGACAM and FORS zp - Andres Parraguez
08:32,2012-01-21 08:32:00,CL,according to OMEGACAM zp - Andres Parraguez
23:53,2012-01-21 23:53:00,CL,- Andres Parraguez
00:52,2012-01-22 00:52:00,PH,According to OMEGACAM zp - Andres Parraguez
04:25,2012-01-22 04:25:00,PH,According to ISAAC zp - Andres Parraguez
06:54,2012-01-22 06:54:00,PH,According to FORS zp - Andres Parraguez
09:02,2012-01-22 09:02:00,HU,closing telescopes due humitidy over the limit - Andres Parraguez
23:43,2012-01-22 23:43:00,TN,some faint clouds around - Andres Parraguez
00:29,2012-01-23 00:29:00,CL,- Andres Parraguez
00:44,2012-01-23 00:44:00,PH,According to FORS zp - Andres Parraguez
00:40,2012-01-24 00:40:00,CL,- Andres Parraguez
00:57,2012-01-24 00:57:00,PH,According to OMEGACAM and FORS zp - Andres Parraguez
05:28,2012-01-24 05:28:00,PH,According to OMEGACAM and FORS zp - Andres Parraguez
09:01,2012-01-24 09:01:00,PH,According to FORS zp - Andres Parraguez
00:06,2012-01-25 00:06:00,CL,Presence of some thin clouds below 20 deg N and E - Susana Cerdah
00:55,2012-01-25 00:55:00,PH,According to FORS Zp - Susana Cerdah
06:40,2012-01-25 06:40:00,PH,According to Fors ZP - Susana Cerdah
23:53,2012-01-25 23:53:00,TN,"Thin clouds at ~30 degrees altitud N, E and W - Thomas Szeifert"
00:45,2012-01-26 00:45:00,PH,Photometric according to FORS Zp. Still some clouds below 20 degrees N half of the sky - Claudia Reyes
01:37,2012-01-26 01:37:00,TK,Tk clouds passing by - Claudia Reyes
02:17,2012-01-26 02:17:00,TN,- Claudia Reyes
05:25,2012-01-26 05:25:00,CL,Clouds located below 20 deg. - Susana Cerdah
08:11,2012-01-26 08:11:00,TN,Tn clouds (+ a few tk clouds) passing by - Claudia Reyes
00:05,2012-01-27 00:05:00,TN,"All telescopes opening. Sky clearing up, still thin clouds remaining above 20 degrees, specially at South - Susana Cerdah"
00:52,2012-01-27 00:52:00,CL,Some clouds below 20 deg - Susana Cerdah
02:28,2012-01-27 02:28:00,CL,According to OmegaCam ZP - Susana Cerdah
04:05,2012-01-27 04:05:00,TN,"Tn cirrus passing by N-S, tk clouds below 20 degrees S. - Claudia Reyes"
06:25,2012-01-27 06:25:00,TN,Mostly Thin but there are some scattered Thick cirrus passing by - Susana Cerdah
06:44,2012-01-27 06:44:00,TK,Thick clouds passing by - Susana Cerdah
08:18,2012-01-27 08:18:00,TK,Thick clouds - Claudia Reyes
08:29,2012-01-27 08:29:00,CY,Closing telescopes. Overcast - Susana Cerdah
23:50,2012-01-27 23:50:00,CL,Clouds (E and S) low in the sky; humidity ~ 40% - Claudia Reyes
04:02,2012-01-28 04:02:00,CL,"Clear according to Omegacam Zps, humidity remains ~ 40% - Claudia Reyes"
06:34,2012-01-28 06:34:00,CL,Clear but with presence of clouds ~ 20 degrees S and W - Claudia Reyes
06:55,2012-01-28 06:55:00,TN,Thin cirrus passing by. - Susana Cerdah
23:51,2012-01-28 23:51:00,CL,- Claudia Reyes
01:21,2012-01-29 01:21:00,CL,According to OmegaCam ZP - Susana Cerdah
04:35,2012-01-29 04:35:00,TN,"Tn clouds present  N and S, around 30 degrees in altitude - Claudia Reyes"
06:45,2012-01-29 06:45:00,CL,"Clear with some clouds below 20 degrees, W and S. - Claudia Reyes"
08:58,2012-01-29 08:58:00,TN,- Claudia Reyes
23:49,2012-01-29 23:49:00,CY				HU,"Overcast (tn + tk cirrus), more coming from NW. Humidity ~50%. Closing Telescopes - Susana Cerdah"
01:35,2012-01-30 01:35:00,CY				HU,Still closed. Clouds covering more than 50% of the sky. More coming from W. Humidity ~50%. - Claudia Reyes
03:10,2012-01-30 03:10:00,CY				HU,No change in weather conditions - Claudia Reyes
04:00,2012-01-30 04:00:00,HU				TN,"Opening telescopes, Tn cirrus across the sky, humidity 50% - Claudia Reyes"
04:30,2012-01-30 04:30:00,HU				TN,Tn with presence of a few tk clouds. - Claudia Reyes
04:45,2012-01-30 04:45:00,CY				HU,"Overcast, humidity >50%, closing all telescopes. - Susana Cerdah"
08:05,2012-01-30 08:05:00,TK				HU,"Tk clouds scattered, humid. Telescopes remain closed. - Claudia Reyes"
23:40,2012-01-30 23:40:00,CY				HU,"Overcast, more clouds coming from W. Humidity 50%. All telescopes closed. - Claudia Reyes"
04:50,2012-01-31 04:50:00,TK				HU,Tk clouds crossing the sky. More coming from W. Humidity at 50%. Telescopes remain closed. - Claudia Reyes
05:50,2012-01-31 05:50:00,CY,Overcast. Still closed. - Claudia Reyes
07:59,2012-01-31 07:59:00,TK,Tk clouds scattered and dense clouds coming from W. - Claudia Reyes
23:46,2012-01-31 23:46:00,TN,Thin clouds in the East. - cristian romero
01:08,2012-02-01 01:08:00,CL,- cristian romero
01:56,2012-02-01 01:56:00,PH,Photometric according FORS - cristian romero
03:37,2012-02-01 03:37:00,CL,Clear according ISAAC - cristian romero
04:09,2012-02-01 04:09:00,PH,photometric according to FORS - cristian romero
08:28,2012-02-01 08:28:00,CL,clear skies according to FORS - cristian romero
00:10,2012-02-02 00:10:00,CL,- cristian romero
01:05,2012-02-02 01:05:00,,- cristian romero
02:11,2012-02-02 02:11:00,CL,- cristian romero
05:14,2012-02-02 05:14:00,CL,- cristian romero
06:12,2012-02-02 06:12:00,CL,- cristian romero
07:48,2012-02-02 07:48:00,CL,- cristian romero
23:49,2012-02-02 23:49:00,CL,- cristian romero
02:27,2012-02-03 02:27:00,CL,- cristian romero
02:40,2012-02-03 02:40:00,PH,According OMEGACAM - cristian romero
04:37,2012-02-03 04:37:00,PH,According to OMEGACAM - cristian romero
06:58,2012-02-03 06:58:00,PH,According to VIMOS - cristian romero
23:47,2012-02-03 23:47:00,TN,Thin clouds - cristian romero
00:13,2012-02-04 00:13:00,WI				TN,Pointing restriction to South and thin clouds - cristian romero
00:54,2012-02-04 00:54:00,TN,- cristian romero
02:05,2012-02-04 02:05:00,CL,clear skies - cristian romero
03:28,2012-02-04 03:28:00,CL,Clear according to HAWK-I - cristian romero
05:05,2012-02-04 05:05:00,PH,According to FORS - cristian romero
06:21,2012-02-04 06:21:00,TN,Thin clouds - cristian romero
23:47,2012-02-04 23:47:00,TK,- cristian romero
01:00,2012-02-05 01:00:00,TN,Thin clouds - cristian romero
02:02,2012-02-05 02:02:00,CL,Clear skies - cristian romero
02:10,2012-02-05 02:10:00,CL,Clear according HAWK-I - cristian romero
02:31,2012-02-05 02:31:00,PH,According to FORS - cristian romero
03:22,2012-02-05 03:22:00,TN,Thin clouds - cristian romero
04:38,2012-02-05 04:38:00,TN,Thin Clouds - cristian romero
06:13,2012-02-05 06:13:00,TN,Thin clouds - cristian romero
07:25,2012-02-05 07:25:00,TK,Thick clouds - cristian romero
23:47,2012-02-05 23:47:00,TK,Thick clouds - cristian romero
00:51,2012-02-06 00:51:00,CY,Overcast telescopes closed - cristian romero
02:24,2012-02-06 02:24:00,TN,"Thin clouds, Telescopes are open - cristian romero"
03:31,2012-02-06 03:31:00,TN,- cristian romero
04:46,2012-02-06 04:46:00,TN,- cristian romero
05:26,2012-02-06 05:26:00,TN,- cristian romero
07:56,2012-02-06 07:56:00,TN,Thin clouds - cristian romero
23:40,2012-02-06 23:40:00,TK,Thick clouds - cristian romero
00:25,2012-02-07 00:25:00,CY,"Overcast above VISTA, telescope closed - cristian romero"
00:40,2012-02-07 00:40:00,CY,"Overcast, Telescopes closed - cristian romero"
03:26,2012-02-07 03:26:00,CY,Overcast the telescopes remained closed - cristian romero
04:02,2012-02-07 04:02:00,CY,"Overcast, telescopes remained closed - cristian romero"
06:19,2012-02-07 06:19:00,CY,"Overcast, telescope remained closed. - cristian romero"
07:00,2012-02-07 07:00:00,CY,"Overcast, telescope remained closed. - cristian romero"
07:53,2012-02-07 07:53:00,CY,"Overcast, Telescope remained closed - cristian romero"
08:02,2012-02-07 08:02:00,CY,"Overcast, Telescopes closed. - cristian romero"
23:36,2012-02-07 23:36:00,TK				HU,"Humidity above 60%, telescopes closed. TK clouds above 20deg S-SE - Susana Cerdah"
02:05,2012-02-08 02:05:00,TK				HU,Humidity stabilized. Opening telescopes. TK clouds SE above 20deg - Susana Cerdah
02:56,2012-02-08 02:56:00,HU				TN,"Humidity above 70%, closing telescopes. - Susana Cerdah"
05:15,2012-02-08 05:15:00,HU				TN,"Humidity still above 70%, telescopes closed. - Susana Cerdah"
23:30,2012-02-08 23:30:00,HU				TN,"Humidity reaching 70%, telescopes closed - Susana Cerdah"
01:05,2012-02-09 01:05:00,HU				TN,"Humidity above 75%, telescopes still closed - Susana Cerdah"
05:05,2012-02-09 05:05:00,HU				TN,"Humidity above 60%, telescopes still closed - Susana Cerdah"
